DCPGs,Dysregulated,WGCNA Co-expression Module,,,,,
AQP9,STEMI-upregulated,MElightyellow,,,,,
STAB1,STEMI-upregulated,MElightyellow,,,,,
GBGT1,STEMI-upregulated,MElightyellow,,,,,
TBC1D2,STEMI-upregulated,MElightyellow,,,,,
SOCS3,STEMI-upregulated,MElightyellow,,,,,
CD14,STEMI-upregulated,MElightyellow,,,,,
GNA15,STEMI-upregulated,MElightyellow,,,,,
NCF4,STEMI-upregulated,MElightyellow,,,,,
ST14,STEMI-upregulated,MElightyellow,,,,,
RBM47,STEMI-upregulated,MElightyellow,,,,,
LILRB4,STEMI-upregulated,MElightyellow,,,,,
TGFBI,STEMI-upregulated,MElightyellow,,,,,
MAP3K6,STEMI-upregulated,MEgrey60,,,,,
CD33,STEMI-upregulated,MElightyellow,,,,,
CEBPD,STEMI-upregulated,MEmagenta,,,,,
PLD3,STEMI-upregulated,MElightyellow,,,,,
CYP1B1,STEMI-upregulated,MElightyellow,,,,,
SMARCD3,STEMI-upregulated,MEgrey60,,,,,
ADM,STEMI-upregulated,MEmagenta,,,,,
NPL,STEMI-upregulated,MElightyellow,,,,,
CPNE2,STEMI-upregulated,MElightyellow,,,,,
SIRPA,STEMI-upregulated,MElightyellow,,,,,
LILRB2,STEMI-upregulated,MElightyellow,,,,,
CCR2,STEMI-upregulated,MEdarkred,,,,,
RNASE2,STEMI-upregulated,MElightyellow,,,,,
CD93,STEMI-upregulated,MElightyellow,,,,,
ADAP2,STEMI-upregulated,MElightyellow,,,,,
CCR1,STEMI-upregulated,MElightyellow,,,,,
LDLRAD3,STEMI-upregulated,MEgrey60,,,,,
RNASE1,STEMI-upregulated,MElightyellow,,,,,
MERTK,STEMI-upregulated,MElightyellow,,,,,
NOD2,STEMI-upregulated,MElightyellow,,,,,
TCN2,STEMI-upregulated,MElightyellow,,,,,
APCDD1,STEMI-upregulated,MElightyellow,,,,,
PPARG,STEMI-upregulated,MElightyellow,,,,,
ACSL1,STEMI-upregulated,MElightyellow,,,,,
HLX,STEMI-upregulated,MEmagenta,,,,,
HRH2,STEMI-upregulated,MElightyellow,,,,,
FPR1,STEMI-upregulated,MElightyellow,,,,,
MAFB,STEMI-upregulated,MElightyellow,,,,,
HK3,STEMI-upregulated,MElightyellow,,,,,
GM2A,STEMI-upregulated,MElightyellow,,,,,
THBD,STEMI-upregulated,MElightyellow,,,,,
CD163,STEMI-upregulated,MElightyellow,,,,,
FBP1,STEMI-upregulated,MElightyellow,,,,,
BCL3,STEMI-upregulated,MElightyellow,,,,,
PLBD1,STEMI-upregulated,MElightyellow,,,,,
HP,STEMI-upregulated,MEdarkred,,,,,
FAM20A,STEMI-upregulated,MElightyellow,,,,,
VSIG4,STEMI-upregulated,MElightyellow,,,,,
DSC2,STEMI-upregulated,MElightyellow,,,,,
SECTM1,STEMI-upregulated,MElightyellow,,,,,
C5AR1,STEMI-upregulated,MElightyellow,,,,,
STEAP4,STEMI-upregulated,MEmagenta,,,,,
MS4A4A,STEMI-upregulated,MElightyellow,,,,,
TREM1,STEMI-upregulated,MElightyellow,,,,,
METTL7B,STEMI-upregulated,MEdarkred,,,,,
SLC1A3,STEMI-upregulated,MElightyellow,,,,,
C1QC,STEMI-upregulated,MElightyellow,,,,,
C3AR1,STEMI-upregulated,MElightyellow,,,,,
ADAMTS2,STEMI-upregulated,MElightyellow,,,,,
ANPEP,STEMI-upregulated,MElightyellow,,,,,
VNN1,STEMI-upregulated,MEmagenta,,,,,
HBEGF,STEMI-upregulated,MElightyellow,,,,,
TMEM176A,STEMI-upregulated,MElightyellow,,,,,
EGR2,STEMI-upregulated,MEgrey60,,,,,
TMEM176B,STEMI-upregulated,MElightyellow,,,,,
RASA2,CCS-upregulated,MElightyellow,,,,,
ITGA4,CCS-upregulated,MElightyellow,,,,,
TFDP2,CCS-upregulated,MElightyellow,,,,,
MYBL1,CCS-upregulated,MEmagenta,,,,,
ARL4C,CCS-upregulated,MElightyellow,,,,,
SLF1,CCS-upregulated,MEgrey60,,,,,
SLC38A1,CCS-upregulated,MEmagenta,,,,,
STAT4,CCS-upregulated,MEgrey60,,,,,
SYNE1,CCS-upregulated,MEgrey60,,,,,
GBP4,CCS-upregulated,MElightyellow,,,,,
BMPR1A,CCS-upregulated,MEmagenta,,,,,
C12orf75,CCS-upregulated,MEmagenta,,,,,
NCALD,CCS-upregulated,MEgrey60,,,,,
PPP2R2B,CCS-upregulated,MEmagenta,,,,,
TGFBR3,CCS-upregulated,MEgrey60,,,,,
TC2N,CCS-upregulated,MElightyellow,,,,,
GBP5,CCS-upregulated,MElightyellow,,,,,
BIRC3,CCS-upregulated,MEgrey60,,,,,
SLAMF6,CCS-upregulated,MEmagenta,,,,,
WEE1,CCS-upregulated,MEmagenta,,,,,
BPNT2,CCS-upregulated,MEgrey60,,,,,
SSX2IP,CCS-upregulated,MEmagenta,,,,,
CCL4,CCS-upregulated,MElightyellow,,,,,
EPB41L4A,CCS-upregulated,MElightyellow,,,,,
IL7R,CCS-upregulated,MElightyellow,,,,,
GZMA,CCS-upregulated,MEdarkred,,,,,
FGFBP2,CCS-upregulated,MEmagenta,,,,,
KLRB1,CCS-upregulated,MEdarkred,,,,,
RGS1,CCS-upregulated,MElightyellow,,,,,
